06 08 13 58 0C 11 16 02 80
11 16 25 00 00 00 00 00 7B
00 00 00 00 00 00 00 00 D0
00 00 00 00 00 00 00 00 D8
00 00 00 00 00 80 80 A0 84
A0 A0 A0 00 00 00 00 00 75
00 00 00 00 00 00 00 00 F0
00 00 00 00 00 00 00 00 F8
00 00 00 00 29 0E 01 08 8C
01 0E 02 0E 01 08 01 0E 66
02 0E 0A 0E 02 26 02 26 8A
02 26 02 0E 04 02 04 0E 03
02 0E 01 08 01 0E 02 0E 98
01 08 01 0E 02 0E 01 08 FE
01 0E 02 0E 01 08 01 0E 8E
02 0E 01 08 01 0E 02 0E B0
01 08 01 0E 02 0E 0A 0E 2F
02 12 02 12 02 12 02 12 9E
02 12 02 12 02 12 02 12 A6
02 12 02 12 02 12 02 12 AE
02 12 02 12 29 12 02 00 DD
