19 0D 03 A0 06 17 0F 14 B9
02 06 07 24 0E 10 12 14 57
16 18 1A 0B 1D 1E 21 0B 84
1D 03 14 26 17 1E 00 00 3E
00 00 00 00 00 08 10 20 41
30 58 58 58 60 60 60 60 4D
60 60 60 68 68 68 68 70 F1
70 78 80 80 88 A0 00 00 2E
00 00 00 00 29 26 02 26 0D
02 03 1C 07 02 03 01 22 FE
02 03 01 22 02 03 01 03 36
18 03 01 03 02 03 01 03 57
01 16 01 03 01 03 02 03 92
01 03 01 16 01 03 01 03 05
02 03 01 03 01 03 01 01 5A
01 01 01 01 01 01 01 01 39
01 01 01 01 01 04 01 03 4F
01 03 02 03 01 03 01 03 14
01 12 01 03 01 03 02 03 C1
01 03 01 03 01 12 01 03 40
01 03 02 03 01 03 01 03 2C
01 0E 01 02 02 03 01 03 CE
02 03 01 03 01 03 01 12 AB
01 03 01 03 02 03 01 03 2C
01 03 01 0F 01 02 01 03 E8
01 03 02 03 01 03 01 01 52
16 03 01 03 02 03 01 1E E9
01 03 02 03 01 1E 01 03 D0
02 01 03 1E 01 03 02 03 41
20 03 02 04 01 21 02 26 B2
29 00 FF 20 20 20 20 31 3C
