15 10 24 A0 06 0B 0B 0B 5B
24 24 06 05 04 03 22 23 88
02 12 17 17 17 12 17 0A E3
11 17 00 00 00 00 00 00 27
00 00 00 00 00 10 18 20 71
28 48 50 58 60 68 68 68 7C
70 70 70 78 80 88 88 90 A2
90 90 00 00 00 00 00 00 65
00 00 00 00 29 26 02 0B F1
01 1A 02 0B 01 1A 02 0B 80
01 1A 02 0A 0F 08 02 03 98
02 19 01 06 01 02 01 02 F4
02 1A 01 05 01 02 01 02 2D
02 1B 01 04 01 02 01 02 65
02 06 0D 09 01 04 02 03 05
02 06 01 0C 01 09 01 08 D2
02 05 01 0E 01 09 01 06 B8
03 04 01 10 01 09 01 04 1F
01 01 02 03 01 06 06 06 B4
01 09 01 02 01 02 02 02 72
01 06 01 06 01 06 01 09 0F
02 03 02 08 01 08 01 05 1B
02 09 01 03 02 08 01 08 3F
01 05 01 01 01 09 01 02 9B
02 09 01 06 01 06 01 02 69
01 09 01 01 02 0A 06 07 C7
01 03 01 09 03 16 01 05 FA
01 09 02 15 01 07 01 08 1C
02 14 01 09 01 07 29 03 D2
20 03 02 04 01 21 02 26 B2
